category,ask
本地生活,接完回来一看系统自动取消，我有急事接了电话，接急事电话回来美团外卖这笔订单被取消乱扣费用 美团乱扣钱，扣我钱
家居日用,淘宝买的床帘无专属标签还刺鼻，实物和描述不一样 2026年9月13日，我从同学推荐的淘宝链接下单了该商品，9月18我取完件安装完后发现底下少了一块，跟淘宝商品图片完全不符合，而且这个床帘还没有商家的专属刺绣标签，跟三无产品一样，床帘的遮光帘还很臭有刺鼻的味道，跟客服沟通只有10元的优惠券，要么就是退货，我买这个东西从快递站拿到宿舍安装就已经花费了我大量时...
医疗健康,优剪门店技术不佳，付钱还需要继续承担发质损伤 2026年8月26日到优剪烫头发，当晚结果效果像锅盖，次日晚上进行修改，结果头发损坏，也没有对应效果，现沟通不进行退款，继续让到门店修改，发质现在以损坏，平台客服沟通强硬，拒绝赔偿
游戏,我要证据，说我开挂，他们给不出，烈焰觉醒充钱后，售后客服态度差。客服态度也差。2026年9月15号，16.17号充值了加起来有1000块钱。然后游戏出现各种BUG，我反馈给客服，客服说系统检测脚本，让我关闭。问题是我没开脚本，我录了游戏视频出现的问题，客服帮我反馈后就没结果了。 我在抖音看推送小沈阳代言的烈焰觉醒游戏。我要求我所有充值的钱退回返还费用！
教育,网课不退 我于2025年11月18日查询事业编考试的一些相关信息，本打着咨询的目的与该企业相关人员建立微信联系，谁知在这个过程中该人员以原价1299网课现10人组团可399一位为由，像我推荐课程。期间一直不停说还有四个名额三个名额两个名额这样的态度催促我安排课程。经过交流，最后我就说交个定金等我学习的时候才交完整，结果就是...
医疗健康,门店注销跑路 蕾特恩江宁万达加盟店多次更换营业执照，无证做点痣留面部色素印，无证做点痣留面部色素印，蕾特恩江宁万达加盟店多次更换营业执照，门店注销跑路，总部承担管理责任 蕾特恩江宁万达加盟店，对外招牌蕾特恩，先后使用两套个体户执照： ①南京市江宁区蕾特恩美容中心（经营者林国书，24年经营）； ②江宁区莱恩蒂美容院（经营者肖清海，25年接手），两家主体 本人2024年在店内累计消费4万...
影音娱乐,高德打车用券价反倒更高，拼车收费虚高，要退钱 2026年9月11号我在高德地图打车是拼车，显示19元打完车后用完30元优惠券是32.34元，合着是62.34元，二十多公里的路还是拼车不是快车收费62.34元，不认可该收费，要求全额退款并赔偿，高德地图平台存在乱收费现象。只要有优惠券打车价格就高的吓人，而且客服给的优惠券使用了跟没使用价格都一样，存在虚假宣传，要求退款...
游戏,误充值不给予退款 本人于 2026年9.18号15；02分在英雄联盟端游误操作充值点券，本计划充值89元，误输为890元。充值后点券完全未使用、未赠送、未消费，余额与充值金额完全一致。第一时间联系腾讯客服申请原路退款，客服以“充值有确认弹窗、即时操作无法撤回”为由拒绝。 根据 《消费者权益保护法》第26条，经营者不得以格式条款排除消费者...
数码3C,机械师电脑售后换屏后一周现绿线诉求赔偿维修期损失 笔记本电脑使用一年后，人为损伤砸坏屏幕后，官方售后返厂维修，更换lcd屏幕1380元。维修后到手一个星期正常使用，维修前屏幕被砸坏位置，出现一条绿线，怀疑未更换全新屏幕，以次充好，或是只更换外屏，内屏未维修导致二次损坏，申请赔偿维修期损失
影音娱乐,未成年退回款项 未成年打赏退款解决太慢，今天打电话叫我修改资料我不小心点到就重新提交了又要等72个小时，我女儿在快手平台看直播在我不知情道的情况下给人家刷了17425块钱，2022年到2023年
家居日用,海尔 空调质量外电脑板损坏，机器没有使用几次退机 外机外电脑板损坏，师傅上门维修说的，出现这问题，我自己的新房子没用几次，这个机器质量不行，我在海尔家还有买的有别的机器，也是老客户了，但这个机器的质量特别不好，我现在就想要退款退货。2026年6月22日购买，门店孔辉家电购买呢，侵害我公平交易权，依法求偿权，安全保障权
通讯运营商,售后客服给我的图片我才用了150个g的流量，中国电信流量虚标 我的流量老是不够用还要买流量包，而且客服也始终不给我解答 就只用话术来敷衍我 就是解决不了，但是我自己的流量使用用了174个g
数码3C,华为mate70pro手机购买刚满一年就出现主板问题 我2025年8月24日在江苏省江阴市三江手机店购买了一台华为mate70pro的新机，我认为这是手机原本就存在质量问题问题，手机就提示主板有问题，2026年9月10日刚满一年，主板维修费用都可以再买一个中等的新手机了，时间也是设置到满一年再出现，为的就是让我们消费者每年换手机。我们工薪阶层没有这个实力可以每年换手机，也没有...
数码3C,设备出现机身掉漆的产品质量问题问题，保修标准不一致 本人在Apple Store官方旗舰店购买Apple Watch，送至合肥万象城苹果直营店进行售后整机换新，AppleWatch两次掉漆换机。我... 本次是第二次因同样掉漆质量问题换机：第一次掉漆整机换新，苹果系统正常重置了1年保修期；第二次同样质量问题整机换新，系统却没有重置保修，延续上一台设备的保修期限，前后标准不一致。
房产家装,大连寓雅居置业有限公司，员工，许华峰，克扣定金 安居客租房看房涉嫌欺诈行为，由于租客交付定金后线下看不到短租合同，租客撤回租房意向，要求退付定金，中介违规克扣，我的要求是退回我的定金
教育,沟通全程，机构老师多次作出多项承诺，诱导我报名缴费，具体承诺内容如下： 1. 岗位报考承诺 老师明确告知我，自考本科（无学位证）、34岁的条件...郑州雎目陉行教育科技有限公司存在宣传不实，诱导消费，违反了消费者权益保护法 反映问题人：冯镜 被投诉机构：郑州雎目陉行教育科技有限公司 本人在2025年12月，被该机构微信招生老师（吴老师、李老师）联系，对方以云南昆明事业编备考培训为由进行推销。
数码3C,要我自己去清理，联想工号a08281态度敷衍不耐烦不肯清理C盘 售后客服敷衍客户，今天这个客服说没有办法，a08281工号，昨天客服带我看c盘看哪里有问题清理c盘，我再三确实说是不是没有办法了，客服语气不耐烦的回答多次没有办法，真是极其不负责任，丢联想的脸，为什么非要敷衍客户呢，你都不看可不可以清理直接跟客户说不能清理，没有解决客户问题的能力，态度还及其...
房产家装,恳请平台介入协调，事后询问遭拒收信息，现要求中介全额退还240元。签完合同后中介临时额外收取240元垃圾分类费，事前未告知、合同也未明确约定由中介收取该笔费用，属于隐瞒收费。2026租房签合同被收额外240元垃圾分类费 我于2026年9月13日通过安居客联系该中介租房并签订合同，事前约定中介费仅收半月租金、一次性结清，无其他额外费用。
教育,没法在登录app和观看课程 我于2020年12月5日在腾讯课堂购买课程6080元，腾讯课堂下架app，现如今腾讯课堂关闭运营app导致课程始终无法查看课程也无法登录
旅游出行,手机都是纯绿色的，我真的很无辜，要求恢复我的账号。今天收到了一条违规说我安装作弊器封禁我账号 14 天，十几天也没有出过车，滴滴十几天没出车没装违规软件被封14天要还账号 手机没有安装任何作弊软件，我真的无语了。
通讯运营商,而我在他地...用了两年零几个月，号码卡里也有余额，扣费到5月开始就处于强制停机状态，仍然扣费到26年1月，显示欠费1200多元，业务经营不善关停，人也没在揭阳。号码卡被强制停机始终不能拨打10000号联系客服人员，无法注销。从25年3月开始人就不在揭阳了，宽带和手机完全就没用过。强制停机后扣费 原本在揭阳有业务，然后办理了宽带，合约期2年。
家居日用,购买这么贵的产品，我12月份才收的货，不到一年降价严重，侵害消费者利益 我2025年11月14日在抖音容声官方旗舰店下单一款冰箱，购买费用是4399元，成交时间是26年1月份，到现在也还没有使用过。我要求给我退差价结果2026年9月我打开再看店铺内同款产品，已降价至3999元，十个月的时间，降价这么多，让我作为消费者难以接受，侵害了我的利益。
家居日用,买的美的微波炉宣传尺寸容积不符商家无授权平台也不处理要退一赔三 2026年9月10日，在拼多平台美的MIDEA数码电器旗舰店购买美的微波炉一台，注册商家为上海荡石电子商务有限公司。 商家描述整机尺寸宽47.2厘米，深37.8厘米，高28厘米，内腔尺寸宽32.9厘米，深32.8厘米，高22.8厘米。 容积23L。 实际测量整机尺寸宽45.5厘米，深32厘米，高25厘米。 内腔尺寸宽29厘米。 深30厘米，高19厘米...
房产家装,由于父母年纪大需要房子里有电视，找链家贝壳省心租租两居室答应的电视有线一直没人管真闹心 我于2026年9月7日在链家的贝壳省心租帮父母租了套两居室的房子，因为电视没有开通歌华有线，并且这个电视可以看，当时链家地产的中介一再保证说业主可以开通歌华，我们每个月交18元钱就行，这样我们就签合同交费把这个房子租了，但签完合同的第二天我们询问歌华有线的事时，发现所有服...
本地生活,美团外卖取餐久到离谱，补时还不够，现场等待约1小时40余分钟，于22:17才完成取餐，超时处罚我要撤销 昨日20:33接到这笔订单。取餐后系统给到60分钟补时，但取餐完成那一刻订单就已经超时23分钟。我实际等待时长远远大于系统给到的补时时长，该超时并非我配送造成，申请撤销本次超时违规处罚。
房产家装,入住新房，今年8月1日，一年多软靠气味依旧刺鼻 本人2025年5月28日在淘宝的林氏家居官方旗舰店购买了一款头层牛皮大床，到货后在新房通风了1年有余，购买林氏家居头层牛皮床，当晚就觉得床的软靠气味非常大，根本不是头层牛皮的天然气味，闻着刺鼻，头和嗓子不舒服，8月2号我就联系了林氏家居客服人员，要求退换货或者退货退钱，但是林氏家居不予退货退款或者换货，仅给予一...
数码3C,该未成年人为限制/无民事行为能力人（按实际年龄），充值行为超出其认知与处分能力，监护人全程不...使用家中“小米盒子4”设备，申请未成年人退款，于2026年9月5日下午，商家拒退全款 监护人本人反映：未成年人在未经监护人同意的情况下，在《猫宅日记》游戏内通过小米渠道（运营方：北京瓦力网络科技有限公司）私自充值共计1012元（订单号/流水见附件）。
金融支付,2农业银行卡遭黄弹科技乱扣299诉求退款处罚止扣费 本人农业银行卡于2026年9月18日下午被黄弹科技乱扣费299.希望对这家公司给予处罚，退款，停止乱扣费
婚恋交友,举报封号始终不予退费 才购买账号会员一周封号，要求退费，不予退费，购买完会员
金融支付,贷款结清后，我申请开具利息发票，平台拒绝开票。属于软暴力催收，使用手机号176********发短信、打电话威胁联系我的家人施压，催收在能正常联系本人的情况下，严重干扰我的正常生活，2025年10月。百顺宝软暴力催收施压已结清客户拒开利息发票盼妥善跟进处理 百顺宝贷款现已全部结清。事后我多次联系平台沟通处理，问题一直得不到解决。 诉求：平台书面道歉，处罚涉事催收人员，开...
服饰鞋包,卖家说一口价只能换款，这个规定不符合法律。依据消保法24条，我要求全额退钱。消费者维权 2026年 9 月号新买不到7天的黄金吊坠，卡扣自行脱落，是产品工艺质量问题。
医疗健康,但前两天我想去体检时，发现去医院体检要补交1050元，498元，当时宣传是去医院体检有优惠，美诺健康管理卡宣传体检优惠未使用要求全款退钱 我去年11月份在美诺健康管理购买了美诺健康管理卡，而医院相同的体检套餐只要一千三百元，从去年11月份到现在我没有使用美诺健康的任何服务，根据法律规定，美诺健康应当全款退给我，而不是只退还80%或者70%
教育,育行家赛优教育夸大宣传诱导消费 本人于2023年9月在育行家（赛优教育控股旗下机构）报名心理咨询师证书培训，现因该机构存在严重虚假宣传、误导招生行为，一共是4170元，缴纳费用2笔，申请全额退费并要求严肃解决，具体事实如下： 1. 虚假宣传证书性质，混淆概念 对方在招生沟通中，将其颁发的“心理咨询师培训证书”宣传为具有国家认可的“心理咨询师”职业...
影音娱乐,当时发货发了一包化肥，快手商城购买牡丹种子，承诺9月配送至今未到还联系不上 我今年4月在改商铺买了牡丹花的种子，客服说9月份发花种，问售后人员，到现在始终不发货，还找不到客服
共享出行,扫怪兽充电宝误留归还后申请恢复支付分扣除租金 2025年10月5号晚上，9:32分，扫了一个怪兽共享充电宝，误触成留下充电宝十来分钟左右，我就还上去了我的诉求是恢复支付分扣除，本该扣的租金
本地生活,京东外卖恶意罚款 骑手说电动车坏了 始终没有给解决 直接给我拉黑了
医疗健康,后面喉咙一直很痛，发现片剂非常大且硬，阿里健康卖1.3cm硬片剂致噎拒绝退货款还推诿 在阿里健康大药房购买了“21金维他L-苏糖酸镁片补充剂元素儿童成人女士男官方正品旗舰店”，结果用尺子一量，收货当天服用直接被噎住，直径有1.3cm，联系阿里健康药房的客服人员，客服ha1570不承认有问题，说不会噎住，说我已经拆封了（货物详情页没有任何关于该商品尺寸的说明，我不拆...
房产家装,所幸当时未砸到孩子，Faroro儿童书桌坍塌严重危害儿童使用安全 店铺态度恶劣总是不予解决 本人购买的儿童书桌正常使用约四年后突然坍塌。 商家目前仅愿补发螺丝重新安装，...因此，本次并非正常使用损耗或单纯超过退换期的问题，而是商家最初安装存在缺陷，并已实际造成书桌坍塌及严重安全隐患。联系售后后，商家已明确承认“当时安装师傅漏装螺丝”，并进一步确认“此次坍塌系螺丝漏装导致”。
房产家装,但我本人已经能直接联系经销商，我多次联系经销商和左右官方400平台客服，400客服表示只能反馈到我购买的经销商处，问题并没...今天是9月18日，临近约定到货日，询问沙发当前生产进度、具体发货时间，但均未得到明确答复。左右沙发这笔订单临近约定配送日进度答复模糊盼专人对接 本人于7月22日在左右沙发咸阳市秦都区居然之家店购买了一个沙发，合同约定到货日期为9月20日至9月25日。
汽车,我跑了6个多月前轮两个轮胎外侧出现吃胎，给我换胎，于是官方让我去我们线下门店安装，要么把轮胎修好 我于2024年7月5号在途虎养车官网买了4条东风牌轮胎，这个轮胎质保3年的，我联系过平台，平台没有作出回应，现在两个前轮外侧磨损非常严重，找平台平台说是我人为造成的，我都不知道说什么了，希望黑猫投诉举报帮我维权
汽车,新车开空调一直存在很明显的电流声 本人于【2026年8月28日】在该4S店购置全新海豹06 EV新车，车辆提车后，车辆在空调工作状态下，车内可听到持续异常电流噪音，使用过程中发现车辆存在低频电流异响，该异响属于车辆本身硬件故障，并非正常使用噪音。后续进店检修，故障现... 车辆交付时，4S店未向我出示完整PDI检测报告，也未告知该车辆存在上述故障隐患。
医疗健康,蕾特恩祛痘诱导大学生贷款消费 在2020年左右在蕾特恩加盟店办理祛痘套餐，当时我还是在校无收入大学生。交完钱以后再去态度变化特别大，每次去都推销这推销那的，说的...诱导我办理6800元的祛痘年卡，每月还款约400元，一整个大学都在还这笔钱，对我造成很大经济和心理压力。门店工作人员只说是门店内部的分期，刻意隐瞒是第三方消费贷款，还有高额利息。
房产家装,我认为桌子是一件长期耐用品该桌子在没有任何外力人为损伤的情况下过质保一年桌边开裂鼓包是出现桌子边缘鼓包开裂 联系平台客服后以过一年质保期为由拒绝提供售后，明显的质量问题残次应该给换货宜家2499元伸缩餐桌无外力坏过一年质保拒售后该换货 2024年在西安沣东新城购买的价值2499元的英格托伸缩餐桌。
共享出行,青桔出行 霸王条款 强制扣款 本人通过滴滴出行(运营主体为杭州小木吉软件科技有限公司及相关关联公司)在广州使用共享单车服务 单车停放区域没有明显标注，周围均为共享单车和电单车，历来停放也从未提示禁止区域，2026/9/17显示禁还，强制收取调度费用。在线客服联系不上，不认可该停车区域，强行解释为禁停区域，不予退款。
共享出行,哈啰臻有钱 哈啰臻有钱逾期一天，现在资金不足，今天接到客服电话必须还款
本地生活,京东外卖秒送众包遇强制派单盼平台处置免骑手受罚 我是京东秒送众包骑手，于2026年8月16晚上8点本地服务商存在强制派单行为。我没有开启自动接单，服务商强行往我账号塞订单，订单距离远、方向不合理，众包骑手本应有自主选单权利，强行派单给我造成很大困扰。要求：1、停止服务商强制塞单行为；2、对该服务商进行核查处罚；3、不要因为拒接强派订单对我扣分、处罚。请...
本地生活,下单时显示尼龙材质独立包装了，而且非常大的一股塑料胶味，美团下单的两双丝袜黏在一起还存在塑料怪味问题 在美团下了一个外卖，两双丝袜，结果过来都没有在包装，还黏在一起了，特别害怕材质问题
汽车,25款吉利银河星舰7虚假宣传龙鹰一号芯片 本人于2025年6月购买2025款银河星舰7 EM‑i探索+车型。该车上市预热阶段，吉利官方官网、宣传物料、各大媒体通稿以及线下4S店销售均宣传车辆搭载龙鹰一号座舱芯片以及Flyme Auto智能座舱，本人基于该宣传内容决定购买本车。 车辆交付后经核验，实车搭载的是亿咖通E02芯片，并非宣传的龙鹰一号芯片。受硬件规格限制，大量...
数码3C,2三星fold整好把国补的钱吃掉了 骗国补，8各大平台涨价把国补的钱都吃没啦 现在各大平台的三星fold8手机 全部比官网价和实体店价格上调500-1000
数码3C,安克创新科技股份有限公司严重虚假宣传 OTA 持续升级功能 尊敬的安克客服/相关负责人： 本人于2026年2月23日在贵司天猫旗舰店购买“智显充 Pro”（订单号：50779*********32214）。可适配未来新协议，这是本人选择该产品的重要原因之一，产品宣传明确表示支持 OTA 持续升级，购买时。 然而实际情况与宣传严重不符： 1. 后续贵司推出“智显充 Pro+”新增小米、华为等私有协议支持，...
通讯运营商,本月我打人工平台客服才取消，但费用没有退还给我，客服承诺48小时解决，现在已经超期三个周期，第一期间回访电话只响两声就挂断，没有任何实质进展。系统未取消至今持续扣费，致电客服取消业务仍扣费，反映问题后未处理 我4月致电10086人工取消12元畅听计划。我现在正式升级投诉，要求：全额退还5月至今所有多扣的费用；
